Rk,Player,Tm,s201617,s201718,s201819,s201920,s202021,s202122,Signed Using,Guaranteed
119,Tiago Splitter,ATL,$8550000,,,,,,Bird Rights,$8550000
120,Ersan Ilyasova,OKC,$8400000,,,,,,Bird Rights,$8400000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
121,Dwight Powell,DAL,$8375000,$9003125,$9631250,$10259375,,,Cap Space,$27009375
122,Avery Bradley,BOS,$8269663,$8808989,,,,,Bird Rights,$17078652
123,E'Twaun Moore,NOP,$8081363,$8445024,$8808685,$8664928,,,Cap Space,$34000000
124,Darrell Arthur,DEN,$8070175,$7464912,$7464912,,,,Cap Space,$15535087
125,Kosta Koufos,SAC,$8046500,$8393000,$8739500,,,,Cap Space,$16439500
126,George Hill,UTA,$8000000,,,,,,Bird Rights,$8000000
127,Anthony Tolliver,SAC,$8000000,$8000000,,,,,Cap Space,$10000000
128,Garrett Temple,SAC,$8000000,$8000000,$8000000,,,,Cap Space,$24000000
129,Sergio Rodriguez,PHI,$8000000,,,,,,Cap Space,$8000000
130,Kevin Garnett,MIN,$8000000,,,,,,Bird Rights,$8000000
131,Tyler Zeller,BOS,$8000000,$8000000,,,,,Cap Space,$8000000
132,Trevor Ariza,HOU,$7806971,$7420912,,,,,Bird Rights,$15227883
133,Channing Frye,CLE,$7806971,$7420912,,,,,Cap Space,$15227883
134,Jose Calderon,LAL,$7708427,,,,,,Cap Space,$7708427
135,Al-Farouq Aminu,POR,$7680965,$7319035,$6957105,,,,Cap Space,$21957105
136,Cole Aldrich,MIN,$7643979,$7300000,$6956021,,,,Cap Space,$17000000
137,Corey Brewer,HOU,$7600000,$7600000,,,,,Cap Space,$15200000
138,Markieff Morris,WAS,$7400000,$8000000,$8600000,,,,Bird Rights,$24000000
139,Festus Ezeli,POR,$7400000,$7733000,,,,,Cap Space,$8400000
140,J.J. Redick,LAC,$7377500,,,,,,Bird Rights,$7377500
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
141,Cory Joseph,TOR,$7330000,$7660000,$8000000,,,,Cap Space,$14990000
142,D.J. Augustin,ORL,$7250000,$7250000,$7250000,$7250000,,,Cap Space,$29000000
143,Boris Diaw,UTA,$7000000,$7500000,,,,,Bird Rights,$7000000
144,Lou Williams,LAL,$7000000,$7000000,,,,,Cap Space,$14000000
145,Rodney Stuckey,IND,$7000000,$7500000,,,,,Cap Space,$7000000
146,Boban Marjanovic,DET,$7000000,$7000000,$7000000,,,,Cap Space,$21000000
147,Ed Davis,POR,$6666667,$6352531,,,,,Cap Space,$13019198
148,Isaiah Thomas,BOS,$6587132,$6261395,,,,,,$12848527
149,Victor Oladipo,OKC,$6552960,,,,,,1st Round Pick,$6552960
150,Jodie Meeks,ORL,$6540000,,,,,,Cap Space,$6540000
151,Jeremy Lamb,CHO,$6511628,$7000000,$7488372,,,,Rookie scale extension,$21000000
152,Carl Landry,PHI,$6500000,,,,,,Cap Space,$6500000
153,Aron Baynes,DET,$6500000,$6500000,,,,,Cap Space,$6500000
154,Spencer Hawes,CHO,$6348759,$6021175,,,,,MLE,$6348759
155,Marco Belinelli,CHO,$6333333,$6333333,,,,,Cap Space,$12666666
156,Jae Crowder,BOS,$6286408,$6796117,$7305825,$7815533,,,Bird Rights,$28203883
157,Lance Thomas,NYK,$6191000,$6655325,$7119650,$7583975,,,Cap Space,$19965975
158,Matt Barnes,SAC,$6125000,$6400625,,,,,Cap Space,$6125000
159,Andrew Nicholson,WAS,$6088993,$6362998,$6637002,$6911007,,,Cap Space,$19088993
160,Patrick Patterson,TOR,$6050000,,,,,,Bird Rights,$6050000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
161,Andrew Wiggins,MIN,$6006600,$7574322,,,,,1st Round Pick,$6006600
162,Wayne Ellington,MIA,$6000000,$6270000,,,,,Cap Space,$6000000
163,Patrick Beverley,HOU,$6000000,$5500000,$5000000,,,,Bird Rights,$11500000
164,Ish Smith,DET,$6000000,$6000000,$6000000,,,,Cap Space,$18000000
165,Ramon Sessions,CHO,$6000000,$6270000,,,,,Cap Space,$6000000
166,Alex Abrines,OKC,$5994764,$5725000,$5455236,,,,Cap Space,$17175000
167,Karl-Anthony Towns,MIN,$5960160,$6216840,$7839435,,,,1st round pick,$5960160
168,Ben Simmons,PHI,$5903160,$6168840,$6434520,$8113930,,,1st Round pick,$12072000
169,Otto Porter,WAS,$5893981,,,,,,1st Round Pick,$5893981
170,Josh McRoberts,MIA,$5782450,$6021175,,,,,MLE,$5782450
171,Shaun Livingston,GSW,$5782450,,,,,,MLE,$5782450
172,Nikola Mirotic,CHI,$5782450,,,,,,Cap Space,$5782450
173,Brandan Wright,MEM,$5700000,$6000000,,,,,MLE,$11700000
174,Jared Sullinger,TOR,$5628000,,,,,,Cap Space,$5628000
175,Tyler Johnson,MIA,$5628000,$5881260,$19245370,$19245370,,,Cap Space,$30754630
176,Wesley Johnson,LAC,$5628000,$5881260,$6134000,,,,Cap Space,$11509260
177,Tony Allen,MEM,$5505618,,,,,,Bird Rights,$5505618
